service,field_name,type,is_enum,possible_values,values_source,operators,dependency_index_entity,in_direct_vars
chime-sdk-voice,NetworkType,string,Yes,"IPV4_ONLY, DUAL_STACK",direct_vars,"equals, not_equals, in, not_in",chime-sdk-voice.voice_connector_network_type,Yes
chime-sdk-voice,NumberSelectionBehavior,string,Yes,"PreferSticky, AvoidSticky",direct_vars,"equals, not_equals, contains, in",chime-sdk-voice.proxy_session_number_selection_behavior,Yes
chime-sdk-voice,OrderType,string,Yes,"New, Porting",direct_vars,"equals, not_equals, in, not_in",chime-sdk-voice.phone_number_order_order_type,Yes
chime-sdk-voice,ProductType,string,Yes,"VoiceConnector, SipMediaApplicationDialIn",direct_vars,"equals, not_equals, in, not_in",chime-sdk-voice.phone_number_order_product_type,Yes
chime-sdk-voice,SessionBorderControllerTypes,string,Yes,"Local, TollFree",boto3_deps,"equals, not_equals, contains, in",chime-sdk-voice.external_systems_configuration_session_border_controller_types,Yes
chime-sdk-voice,SpeakerSearchTaskStatus,string,Yes,"AcquireFailed, AcquireInProgress, Assigned, CancelRequested, Cancelled, ChangeRequested, Closed, DeleteFailed, DeleteInProgress, Exception, FOC, Failed, InProgress, Open, Partial, PendingDocuments, PortinCancelRequested, PortinInProgress, Processing, ReleaseFailed, ReleaseInProgress, Submitted, Successful, Unassigned",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",chime-sdk-voice.speaker_search_task_speaker_search_task_status,Yes
chime-sdk-voice,Status,string,Yes,"Processing, Successful, Failed, Partial, PendingDocuments, Submitted, FOC, ChangeRequested, Exception, CancelRequested, Cancelled",direct_vars,"equals, not_equals, in, not_in",chime-sdk-voice.phone_number_order_status,Yes
chime-sdk-voice,StatusMessage,string,Yes,"AcquireFailed, AcquireInProgress, Assigned, CancelRequested, Cancelled, ChangeRequested, Closed, DeleteFailed, DeleteInProgress, Exception, FOC, Failed, InProgress, Open, Partial, PendingDocuments, PortinCancelRequested, PortinInProgress, Processing, ReleaseFailed, ReleaseInProgress, Submitted, Successful, Unassigned",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",chime-sdk-voice.speaker_search_task_status_message,Yes
chime-sdk-voice,SupportedPhoneNumberTypes,string,Yes,"Local, TollFree",boto3_deps,"equals, not_equals, contains, in",chime-sdk-voice.phone_number_country_supported_phone_number_types,Yes
chime-sdk-voice,TriggerType,string,Yes,"ToPhoneNumber, RequestUriHostname",direct_vars,"equals, not_equals, in, not_in",chime-sdk-voice.sip_rul_trigger_type,Yes
chime-sdk-voice,Type,string,Yes,"Local, TollFree",direct_vars,"equals, not_equals, in, not_in",chime-sdk-voice.phone_number_type,Yes
chime-sdk-voice,VoiceToneAnalysisTaskStatus,string,Yes,"AcquireFailed, AcquireInProgress, Assigned, CancelRequested, Cancelled, ChangeRequested, Closed, DeleteFailed, DeleteInProgress, Exception, FOC, Failed, InProgress, Open, Partial, PendingDocuments, PortinCancelRequested, PortinInProgress, Processing, ReleaseFailed, ReleaseInProgress, Submitted, Successful, Unassigned",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",chime-sdk-voice.voice_tone_analysis_task_voice_tone_analysis_task_status,Yes
cleanrooms,analysisMethod,boolean,Yes,"DIRECT_QUERY, DIRECT_JOB, MULTIPLE",direct_vars,"equals, not_equals",cleanrooms.configured_table_summary_analysis_method,Yes
cleanrooms,analysisRuleTypes,boolean,Yes,"ACCESS_BUDGET, AGGREGATION, CUSTOM, DIFFERENTIAL_PRIVACY, ID_MAPPING_TABLE, LIST, TABLE",boto3_deps,"equals, not_equals",cleanrooms.configured_table_summary_analysis_rule_types,Yes
cleanrooms,analyticsEngine,string,Yes,"SPARK, CLEAN_ROOMS_SQL",direct_vars,"equals, not_equals, contains, in",cleanrooms.collaboration_list_analytics_engine,Yes
cleanrooms,autoApprovedChangeTypes,string,Yes,"ACCESS_BUDGET, AGGREGATION, CUSTOM, DIFFERENTIAL_PRIVACY, ID_MAPPING_TABLE, LIST, TABLE",boto3_deps,"equals, not_equals, contains, in",cleanrooms.collaboration_auto_approved_change_types,Yes
cleanrooms,autoRefresh,string,Yes,"CALENDAR_MONTH, NONE",direct_vars,"equals, not_equals, contains, in",cleanrooms.collaboration_privacy_budget_template_auto_refresh,Yes
cleanrooms,budget,string,Yes,"ACCESS_BUDGET, DIFFERENTIAL_PRIVACY",boto3_deps,"equals, not_equals, contains, in",cleanrooms.collaboration_privacy_budget_summary_budget,Yes
cleanrooms,format,string,Yes,"SQL, PYSPARK_1_0",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanrooms.analysis_template_format,Yes
cleanrooms,jobLogStatus,string,Yes,"ENABLED, DISABLED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanrooms.collaboration_job_log_status,Yes
cleanrooms,memberStatus,string,Yes,"INVITED, ACTIVE, LEFT, REMOVED",direct_vars,"equals, not_equals, in, not_in",cleanrooms.collaboration_list_member_status,Yes
cleanrooms,privacyBudgetType,string,Yes,DIFFERENTIAL_PRIVACY,direct_vars,"equals, not_equals, contains, in",cleanrooms.collaboration_privacy_budget_template_privacy_budget_type,Yes
cleanrooms,queryLogStatus,string,Yes,"ENABLED, DISABLED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanrooms.collaboration_query_log_status,Yes
cleanrooms,schemaStatusDetails,string,Yes,"ACTIVE, APPROVED, CANCELLED, CANCELLING, COLLABORATION_DELETED, COMMITTED, DENIED, FAILED, INVITED, LEFT, PENDING, REMOVED, STARTED, SUBMITTED, SUCCESS, TIMED_OUT",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanrooms.schema_schema_status_details,Yes
cleanrooms,schemaTypeProperties,string,Yes,"ACCESS_BUDGET, AGGREGATION, CUSTOM, DIFFERENTIAL_PRIVACY, ID_MAPPING_TABLE, LIST, TABLE",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanrooms.schema_schema_type_properties,Yes
cleanrooms,selectedAnalysisMethods,boolean,Yes,"DIRECT_JOB, DIRECT_QUERY, MULTIPLE",boto3_deps,"equals, not_equals",cleanrooms.configured_table_summary_selected_analysis_methods,Yes
cleanrooms,status,string,Yes,"ACTIVE, REMOVED, COLLABORATION_DELETED",direct_vars,"equals, in, not_equals",cleanrooms.membership_summary_status,Yes
cleanrooms,type,string,Yes,"AGGREGATION, LIST, CUSTOM",direct_vars,"equals, not_equals, contains, in",cleanrooms.analysis_rule_type,Yes
cleanrooms,Status,string,Yes,"ACTIVE, APPROVED, CANCELLED, CANCELLING, COLLABORATION_DELETED, COMMITTED, DENIED, DISABLED, ENABLED, FAILED, INVITED, LEFT, PENDING, REMOVED, STARTED, SUBMITTED, SUCCESS, TIMED_OUT",boto3_deps,"equals, not_equals, in",cleanrooms.membership_summary_payment_configuration,Yes
cleanroomsml,instanceType,string,Yes,"ml.r7i.48xlarge, ml.r6i.16xlarge, ml.m6i.xlarge, ml.m5.4xlarge, ml.p2.xlarge, ml.m4.16xlarge, ml.r7i.16xlarge, ml.m7i.xlarge, ml.m6i.12xlarge, ml.r7i.8xlarge, ml.r7i.large, ml.m7i.12xlarge, ml.m6i.24xlarge, ml.m7i.24xlarge, ml.r6i.8xlarge, ml.r6i.large, ml.g5.2xlarge, ml.m5.large, ml.m7i.48xlarge, ml.m6i.16xlarge, ml.p2.16xlarge, ml.g5.4xlarge, ml.m7i.16xlarge, ml.c4.2xlarge, ml.c5.2xlarge, ml.c6i.32xlarge, ml.c4.4xlarge, ml.g5.8xlarge, ml.c6i.xlarge, ml.c5.4xlarge, ml.g4dn.xlarge, ml.c7i.xlarge, ml.c6i.12xlarge, ml.g4dn.12xlarge, ml.c7i.12xlarge, ml.c6i.24xlarge, ml.g4dn.2xlarge, ml.c7i.24xlarge, ml.c7i.2xlarge, ml.c4.8xlarge, ml.c6i.2xlarge, ml.g4dn.4xlarge, ml.c7i.48xlarge, ml.c7i.4xlarge, ml.c6i.16xlarge, ml.c5.9xlarge, ml.g4dn.16xlarge, ml.c7i.16xlarge, ml.c6i.4xlarge, ml.c5.xlarge, ml.c4.xlarge, ml.g4dn.8xlarge, ml.c7i.8xlarge, ml.c7i.large, ml.g5.xlarge, ml.c6i.8xlarge, ml.c6i.large, ml.g5.12xlarge, ml.g5.24xlarge, ml.m7i.2xlarge, ml.c5.18xlarge, ml.g5.48xlarge, ml.m6i.2xlarge, ml.g5.16xlarge, ml.m7i.4xlarge, ml.r6i.32xlarge, ml.m6i.4xlarge, ml.m5.xlarge, ml.m4.10xlarge, ml.r6i.xlarge, ml.m5.12xlarge, ml.m4.xlarge, ml.r7i.2xlarge, ml.r7i.xlarge, ml.r6i.12xlarge, ml.m5.24xlarge, ml.r7i.12xlarge, ml.m7i.8xlarge, ml.m7i.large, ml.r6i.24xlarge, ml.r6i.2xlarge, ml.m4.2xlarge, ml.r7i.24xlarge, ml.r7i.4xlarge, ml.m6i.8xlarge, ml.m6i.large, ml.m5.2xlarge, ml.p2.8xlarge, ml.r6i.4xlarge, ml.m6i.32xlarge, ml.m4.4xlarge, ml.p3.16xlarge, ml.p3.2xlarge, ml.p3.8xlarge",direct_vars,"equals, not_equals, contains, in",cleanroomsml.resource_config_instance_type,Yes
cleanroomsml,logsStatus,string,Yes,"PUBLISH_SUCCEEDED, PUBLISH_FAILED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanroomsml.collaboration_trained_model_inference_job_logs_status,Yes
cleanroomsml,logsStatusDetails,string,Yes,"ACTIVE, CANCEL_FAILED, CANCEL_IN_PROGRESS, CANCEL_PENDING, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, INACTIVE, PUBLISH_FAILED, PUBLISH_SUCCEEDED",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanroomsml.collaboration_trained_model_inference_job_logs_status_details,Yes
cleanroomsml,metricsStatus,string,Yes,"PUBLISH_SUCCEEDED, PUBLISH_FAILED",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanroomsml.collaboration_trained_model_inference_job_metrics_status,Yes
cleanroomsml,metricsStatusDetails,string,Yes,"ACTIVE, CANCEL_FAILED, CANCEL_IN_PROGRESS, CANCEL_PENDING, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, INACTIVE, PUBLISH_FAILED, PUBLISH_SUCCEEDED",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanroomsml.collaboration_trained_model_inference_job_metrics_status_details,Yes
cleanroomsml,status,string,Yes,"CREATE_PENDING, CREATE_IN_PROGRESS, CREATE_FAILED, ACTIVE",direct_vars,"equals, in, not_equals",cleanroomsml.audience_export_job_status,Yes
cleanroomsml,statusCode,string,Yes,"ACTIVE, CANCEL_FAILED, CANCEL_IN_PROGRESS, CANCEL_PENDING, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, INACTIVE",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cleanroomsml.status_detail_status_code,Yes
cleanroomsml,statusDetails,string,Yes,"ACTIVE, CANCEL_FAILED, CANCEL_IN_PROGRESS, CANCEL_PENDING, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, INACTIVE",boto3_deps,"equals, not_equals, in, not_in",cleanroomsml.audience_export_job_status_details,Yes
cleanroomsml,type,string,Yes,INTERACTIONS,direct_vars,"equals, not_equals, contains, in",cleanroomsml.training_data_type,Yes
cleanroomsml,Status,string,Yes,"ACTIVE, CANCEL_FAILED, CANCEL_IN_PROGRESS, CANCEL_PENDING, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, INACTIVE, PUBLISH_FAILED, PUBLISH_SUCCEEDED",boto3_deps,"equals, not_equals, in",cleanroomsml.privacy_configuration_privacy_configuration,Yes
cleanroomsml,trainingInputMode,string,Yes,"FastFile, File, Pipe",boto3_deps,"equals, not_equals, in, not_in",,No
cleanroomsml,childResourceTagOnCreatePolicy,string,Yes,"FROM_PARENT_RESOURCE, NONE",boto3_deps,"equals, not_equals, in, not_in",,No
cloud9,connectionType,string,Yes,"CONNECT_SSH, CONNECT_SSM",direct_vars,"equals, not_equals, contains, in",cloud9.environment_connection_type,Yes
cloud9,managedCredentialsStatus,string,Yes,"ENABLED_ON_CREATE, ENABLED_BY_OWNER, DISABLED_BY_DEFAULT, DISABLED_BY_OWNER, DISABLED_BY_COLLABORATOR, PENDING_REMOVAL_BY_COLLABORATOR, PENDING_START_REMOVAL_BY_COLLABORATOR, PENDING_REMOVAL_BY_OWNER, PENDING_START_REMOVAL_BY_OWNER, FAILED_REMOVAL_BY_COLLABORATOR, FAILED_REMOVAL_BY_OWNER",direct_vars,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cloud9.environment_managed_credentials_status,Yes
cloud9,permissions,string,Yes,"owner, read-write, read-only",direct_vars,"equals, not_equals, contains, in",cloud9.membership_permissions,Yes
cloud9,status,,Yes,"DISABLED_BY_COLLABORATOR, DISABLED_BY_DEFAULT, DISABLED_BY_OWNER, ENABLED_BY_OWNER, ENABLED_ON_CREATE, FAILED_REMOVAL_BY_COLLABORATOR, FAILED_REMOVAL_BY_OWNER, PENDING_REMOVAL_BY_COLLABORATOR, PENDING_REMOVAL_BY_OWNER, PENDING_START_REMOVAL_BY_COLLABORATOR, PENDING_START_REMOVAL_BY_OWNER, connecting, creating, deleting, error, ready, stopped, stopping",boto3_deps,"equals, not_equals, gt, lt, gte, lte",cloud9.statu_status,Yes
cloud9,type,string,Yes,"ssh, ec2",direct_vars,"equals, not_equals, contains, in",cloud9.environment_type,Yes
cloudcontrol,ErrorCode,string,Yes,"NotUpdatable, InvalidRequest, AccessDenied, UnauthorizedTaggingOperation, InvalidCredentials, AlreadyExists, NotFound, ResourceConflict, Throttling, ServiceLimitExceeded, NotStabilized, GeneralServiceException, ServiceInternalError, ServiceTimeout, NetworkFailure, InternalFailure",direct_vars,"equals, not_equals, contains, in",cloudcontrol.resource_request_status_summary_error_code,Yes
cloudcontrol,Operation,string,Yes,"CREATE, DELETE, UPDATE",direct_vars,"equals, not_equals, contains, in",cloudcontrol.resource_request_status_summary_operation,Yes
cloudcontrol,OperationStatus,string,Yes,"PENDING, IN_PROGRESS, SUCCESS, FAILED, CANCEL_IN_PROGRESS, CANCEL_COMPLETE",direct_vars,"equals, not_equals, in, not_in",cloudcontrol.resource_request_status_summary_operation_status,Yes
clouddirectory,FacetStyle,string,Yes,"STATIC, DYNAMIC",direct_vars,"equals, not_equals, contains, in",clouddirectory.facet_facet_style,Yes
clouddirectory,ObjectType,string,Yes,"NODE, LEAF_NODE, POLICY, INDEX",direct_vars,"equals, not_equals, contains, in",clouddirectory.facet_object_type,Yes
clouddirectory,RequiredBehavior,string,Yes,"REQUIRED_ALWAYS, NOT_REQUIRED",direct_vars,"equals, not_equals, contains, in",clouddirectory.attribut_required_behavior,Yes
clouddirectory,State,string,Yes,"ENABLED, DISABLED, DELETED",direct_vars,"equals, not_equals, in, not_in",clouddirectory.directory_state,Yes
clouddirectory,Type,string,Yes,"STRING, BINARY, BOOLEAN, NUMBER, DATETIME, VARIANT",direct_vars,"equals, not_equals, contains, in",clouddirectory.attribut_type,Yes
clouddirectory,TypedLinkFacet,string,Yes,"BINARY, BOOLEAN, DATETIME, NUMBER, STRING, VARIANT",boto3_deps,"equals, not_equals, contains, in",clouddirectory.link_specifier_typed_link_facet,Yes
cloudformation,Action,string,Yes,"CREATE, UPDATE, DELETE, DETECT_DRIFT",direct_vars,"equals, not_equals, contains, in",cloudformation.stack_set_operation_action,Yes
cloudformation,DeletionMode,string,Yes,"STANDARD, FORCE_DELETE_STACK",direct_vars,"equals, not_equals, in, not_in",cloudformation.stack_deletion_mode,Yes
cloudformation,DeprecatedStatus,string,Yes,"LIVE, DEPRECATED",direct_vars,"contains, equals, not_equals",cloudformation.auto_update,Yes
cloudformation,DetailedStatus,string,Yes,"CONFIGURATION_COMPLETE, VALIDATION_FAILED",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_detailed_status,Yes
cloudformation,Detection,string,Yes,"AUTO, MANUAL",direct_vars,"equals, not_equals, contains, in",cloudformation.stack_refactor_action_detection,Yes
cloudformation,DetectionReason,string,Yes,"AUTO, MANUAL",boto3_deps,"equals, not_equals, contains, in",cloudformation.stack_refactor_action_detection_reason,Yes
cloudformation,DetectionStatusReason,,Yes,"ACTIVE, AUTO, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DETECTION_COMPLETE, DETECTION_FAILED, DETECTION_IN_PROGRESS, DISABLED, DISABLED_PERMANENTLY, ENABLED, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, MANUAL, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,"equals, not_equals, gt, lt, gte, lte",cloudformation.stack_id_detection_status_reason,Yes
cloudformation,DriftStatus,string,Yes,"DRIFTED, IN_SYNC, UNKNOWN, NOT_CHECKED",direct_vars,"equals, not_equals, in, not_in",cloudformation.summary_drift_status,Yes
cloudformation,DriftStatusReason,string,Yes,"ACTIVE, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DISABLED, DISABLED_PERMANENTLY, DRIFTED, ENABLED, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, IN_SYNC, NOT_CHECKED, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UNKNOWN, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,"equals, not_equals, greater_than, less_than, greater_than_or_equal, less_than_or_equal",cloudformation.stack_resource_drift_drift_status_reason,Yes
cloudformation,Entity,string,Yes,"RESOURCE, STACK",direct_vars,"equals, not_equals, contains, in",cloudformation.stack_refactor_action_entity,Yes
cloudformation,EventType,string,Yes,"STACK_EVENT, PROGRESS_EVENT, VALIDATION_ERROR, PROVISIONING_ERROR, HOOK_INVOCATION_ERROR",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_event_type,Yes
cloudformation,ExecutionStatus,string,Yes,"UNAVAILABLE, AVAILABLE, OBSOLETE, EXECUTE_IN_PROGRESS, EXECUTE_COMPLETE, EXECUTE_FAILED, ROLLBACK_IN_PROGRESS, ROLLBACK_COMPLETE, ROLLBACK_FAILED",direct_vars,"equals, not_equals, in, not_in",cloudformation.stack_refactor_summary_execution_status,Yes
cloudformation,ExecutionStatusReason,string,Yes,"ACTIVE, AVAILABLE, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DISABLED, DISABLED_PERMANENTLY, ENABLED, EXECUTE_COMPLETE, EXECUTE_FAILED, EXECUTE_IN_PROGRESS, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, OBSOLETE, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, ROLLBACK_COMPLETE, ROLLBACK_FAILED, ROLLBACK_IN_PROGRESS, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,"equals, not_equals, in, not_in",cloudformation.stack_refactor_summary_execution_status_reason,Yes
cloudformation,FailureMode,string,Yes,"FAIL, WARN",direct_vars,"contains, equals, not_equals",cloudformation.hook_result_failure_mode,Yes
cloudformation,HookFailureMode,string,Yes,"FAIL, WARN",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_hook_failure_mode,Yes
cloudformation,HookInvocationPoint,string,Yes,PRE_PROVISION,direct_vars,"equals, not_equals, contains, in",cloudformation.operation_event_hook_invocation_point,Yes
cloudformation,HookStatus,string,Yes,"HOOK_IN_PROGRESS, HOOK_COMPLETE_SUCCEEDED, HOOK_COMPLETE_FAILED, HOOK_FAILED",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_hook_status,Yes
cloudformation,HookStatusReason,string,Yes,"ACTIVE, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DISABLED, DISABLED_PERMANENTLY, ENABLED, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,"contains, equals, not_equals",cloudformation.operation_event_hook_status_reason,Yes
cloudformation,HookType,string,Yes,"HOOK, MODULE, RESOURCE",boto3_deps,"equals, not_equals, in, not_in",cloudformation.operation_event_hook_type,Yes
cloudformation,Hooks,,Yes,"HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS",boto3_deps,"equals, not_equals, contains, in",cloudformation.hook_hooks,Yes
cloudformation,IdentityProvider,string,Yes,"AWS_Marketplace, GitHub, Bitbucket",direct_vars,"contains, equals, exists, in, not_equals",cloudformation.identity_provider,Yes
cloudformation,InvocationPoint,string,Yes,PRE_PROVISION,direct_vars,"contains, equals, not_equals",cloudformation.hook_result_invocation_point,Yes
cloudformation,OperationStatus,string,Yes,"IN_PROGRESS, SUCCEEDED, FAILED",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_operation_status,Yes
cloudformation,OperationType,string,Yes,"CREATE_STACK, UPDATE_STACK, DELETE_STACK, CONTINUE_ROLLBACK, ROLLBACK, CREATE_CHANGESET",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_operation_type,Yes
cloudformation,OriginalTypeArn,string,Yes,"HOOK, MODULE, RESOURCE",boto3_deps,"contains, equals, exists, in, not_equals",cloudformation.auto_update,Yes
cloudformation,OriginalTypeName,string,Yes,"HOOK, MODULE, RESOURCE",boto3_deps,"contains, equals, exists, in, not_equals",cloudformation.required_activated_typ_original_type_name,Yes
cloudformation,ParameterType,string,Yes,"HOOK, MODULE, RESOURCE",boto3_deps,"equals, not_equals, in, not_in",cloudformation.parameter_parameter_type,Yes
cloudformation,PermissionModel,string,Yes,"SERVICE_MANAGED, SELF_MANAGED",direct_vars,"equals, not_equals, in, not_in",cloudformation.summary_permission_model,Yes
cloudformation,Progress,,Yes,"COMPLETE, FAILED, IN_PROGRESS",boto3_deps,"equals, not_equals, contains, in",cloudformation.resourc_progress,Yes
cloudformation,ProgressStatus,,Yes,"ACTIVE, CANCELLED, COMPLETE, CREATE_COMPLETE, CREATE_FAILED, CREATE_IN_PROGRESS, CREATE_PENDING, CURRENT, DELETED, DELETE_COMPLETE, DELETE_FAILED, DELETE_IN_PROGRESS, DELETE_PENDING, DISABLED, DISABLED_PERMANENTLY, ENABLED, EXPIRED, FAILED, HOOK_COMPLETE_FAILED, HOOK_COMPLETE_SUCCEEDED, HOOK_FAILED, HOOK_IN_PROGRESS, INOPERABLE, IN_PROGRESS, OUTDATED, PASSED, PENDING, PLANNED, PLANNING, QUEUED, RUNNING, SKIPPED, STOPPED, STOPPING, SUCCEEDED, UNAVAILABLE, UPDATE_IN_PROGRESS, UPDATE_PENDING",boto3_deps,"equals, not_equals, gt, lt, gte, lte",cloudformation.progress_status,Yes
cloudformation,ProvisioningType,boolean,Yes,"NON_PROVISIONABLE, IMMUTABLE, FULLY_MUTABLE",direct_vars,"contains, equals, not_equals",cloudformation.auto_update,Yes
cloudformation,PublisherId,boolean,Yes,"AWS_Marketplace, Bitbucket, GitHub",boto3_deps,"contains, equals, exists, in, not_equals",cloudformation.required_activated_typ_publisher_id,Yes
cloudformation,PublisherIdentity,string,Yes,"AWS_Marketplace, GitHub, Bitbucket",direct_vars,"equals, exists, in, not_equals",cloudformation.type_summary_publisher_identity,Yes
cloudformation,PublisherStatus,boolean,Yes,"VERIFIED, UNVERIFIED",direct_vars,"contains, equals, not_equals",cloudformation.identity_provider,Yes
cloudformation,RequiredActivatedTypes,string,Yes,"HOOK, MODULE, RESOURCE",boto3_deps,"contains, equals, not_equals",cloudformation.auto_update,Yes
cloudformation,ResourceStatus,string,Yes,"CREATE_IN_PROGRESS, CREATE_FAILED, CREATE_COMPLETE, DELETE_IN_PROGRESS, DELETE_FAILED, DELETE_COMPLETE, DELETE_SKIPPED, UPDATE_IN_PROGRESS, UPDATE_FAILED, UPDATE_COMPLETE, IMPORT_FAILED, IMPORT_COMPLETE, IMPORT_IN_PROGRESS, IMPORT_ROLLBACK_IN_PROGRESS, IMPORT_ROLLBACK_FAILED, IMPORT_ROLLBACK_COMPLETE, EXPORT_FAILED, EXPORT_COMPLETE, EXPORT_IN_PROGRESS, EXPORT_ROLLBACK_IN_PROGRESS, EXPORT_ROLLBACK_FAILED, EXPORT_ROLLBACK_COMPLETE, UPDATE_ROLLBACK_IN_PROGRESS, UPDATE_ROLLBACK_COMPLETE, UPDATE_ROLLBACK_FAILED, ROLLBACK_IN_PROGRESS, ROLLBACK_COMPLETE, ROLLBACK_FAILED",direct_vars,"equals, not_equals, in, not_in",cloudformation.operation_event_resource_status,Yes
